m,y,p,c,u,lat,lng,t
6400,1790,"Barbotan","FR","4942",43.95,-0.05,"H5"
1850,1796,"Bjelaja Zerkov","UA","5063",49.78333,30.16667,"H6"
4500,1804,"High Possil","GB","11884",55.9,-4.23333,"L6"
52000,1808,"Stannern","CZ","23713",49.28333,15.56667,"Eucrite-mmict"
3520,1810,"Mooresfort","IE","16737",52.45,-8.33333,"H5"
13200,1815,"Durala","IN","7750",30.3,76.63333,"L6"
2,1830,"Perth","GB","18797",56.4,-3.43333,"LL5"
20000,1831,"Vouillé","FR","24191",46.63333,0.16667,"L6"
3750,1831,"Wessely","CZ","24244",48.95,17.38333,"H5"
470,1833,"Blansko","CZ","5072",49.36667,16.63333,"H6"
12000,1834,"Charwallas","IN","5330",29.48333,75.5,"H6"
12000,1834,"Okniny","UA","18002",50.83333,25.5,"LL6"
4300,1835,"Charlotte","US","5328",36.16667,-87.33333,"Iron, IVA"
700,1835,"Aldsworth","GB","461",51.78333,-1.78333,"LL5"
1500,1836,"Macau","BR","15370",-5.2,-36.66667,"H5"
1000,1836,"Mascombes","FR","15438",45.36667,1.86667,"L6"
800,1836,"Aubres","FR","4893",44.38333,5.16667,"Aubrite"
10500,1837,"Gross-Divina","SK","11207",49.26667,18.71667,"H5"
1500,1837,"Esnandes","FR","10051",46.25,-1.1,"L6"
8800,1838,"Chandakapur","IN","5320",20.26667,76.01667000000001,"L5"
5200,1838,"Cold Bokkeveld","ZA","5397",-33.13333,19.38333,"CM2"
500,1838,"Montlivault","FR","16729",47.63333,1.58333,"L6"
1800,1838,"Akbarpur","IN","427",29.71667,77.95,"H4"
6460,1840,"Cereseto","IT","5308",45.08333,8.300000000000001,"H5"
230,1838,"Kaee","IN","12222",27.25,79.96666999999999,"H5"
491,1839,"Little Piney","US","14664",37.91667,-92.08333,"L5"
3000,1840,"Karakol","KZ","12256",47.21667,81.01667000000001,"LL6"
710,1840,"Uden","NL","24103",51.65,5.61667,"LL7"
30000,1841,"Château-Renard","FR","5332",47.93333,2.91667,"L6"
5500,1841,"St. Christophe-la-Chartreuse","FR","23082",46.95,-1.5,"L6"
1000,1841,"Grüneberg","PL","11426",51.93333,15.5,"H4"
10000,1842,"Milena","HR","16640",46.18333,16.1,"L6"
3200,1842,"Barea","ES","4946",42.38333,-2.5,"Mesosiderite-A1"
2000,1842,"Aumieres","FR","4900",44.33333,3.23333,"L6"
9700,1843,"Utrecht","NL","24135",52.11667,5.18333,"L6"
8000,1843,"Verkhne Tschirskaia","RU","24165",48.41667,43.2,"H5"
6000,1843,"Bishopville","US","5059",34.16667,-80.28333000000001,"Aubrite"
3250,1843,"Klein-Wenden","DE","12332",51.6,10.8,"H6"
50,1843,"Manegaon","IN","15403",20.96667,76.09999999999999,"Diogenite"
1500,1844,"Favars","FR","10078",44.38333,2.81667,"H5"
1200,1844,"Cosina","MX","5451",21.16667,-100.86667,"H5"
140,1844,"Killeter","GB","12309",54.66667,-7.66667,"H6"
3000,1845,"Le Pressoir","FR","12748",47.16667,0.43333,"H5"
780,1845,"Le Teilleul","FR","12749",48.53333,-0.8666700000000001,"Howardite"
8000,1846,"Sch̦nenberg","DE","23460",48.11667,10.46667,"L6"
3130,1846,"Monte Milone","IT","16726",43.26667,13.35,"L5"
2300,1846,"Cape Girardeau","US","5260",37.26667,-89.58333,"H6"
39000,1847,"Braunau","CZ","5133",50.6,16.3,"Iron, IIAB"
28400,1847,"Marion (Iowa)","US","15424",41.9,-91.59999999999999,"L6"
3000,1848,"Marmande","FR","15429",44.5,0.15,"L5"
1800,1848,"Dharwar","IN","6699",14.88333,75.59999999999999,"OC"
850,1848,"Ski","NO","23621",59.73333,10.86667,"L6"
94,1848,"Castine","US","5293",44.38333,-68.75,"L6"
8600,1849,"Monroe","US","16720",35.25,-80.5,"H4"
135000,1850,"Kesen","JP","12286",38.98333,141.61667,"H4"
4000,1850,"Shalka","IN","23521",23.1,87.3,"Diogenite"
5000,1851,"Nulles","ES","17959",41.63333,0.75,"H6"
