m,y,p,c,u,lat,lng,t
750,1903,"Tyumen","RU","24095",57.16667,65.53333000000001,"Iron"
668,1903,"Rich Mountain","US","22597",35.03333,-83.03333000000001,"L6"
28.9,1903,"Menziswyl","CH","15486",46.81867,7.21817,"L5"
18600,1904,"Shelburne","CA","23529",44.05,-80.16667,"L5"
5700,1904,"Gumoschnik","BG","11450",42.9,24.7,"H5"
4742,1904,"Okano","JP","18000",35.08333,135.2,"Iron, IIAB"
23.2,1904,"Barnaul","RU","4947",52.73333,84.08333,"H5"
35000,1905,"Modoc (1905)","US","16711",38.5,-101.1,"L6"
22000,1905,"Karkh","PK","12262",27.8,67.16667,"L6"
2500,1905,"Bholghati","IN","5041",22.08333,86.90000000000001,"Howardite"
600,1905,"Tomakovka","UA","24019",47.85,34.76667,"LL6"
550,1905,"Minnichhof","HU","16700",47.7,16.6,"OC"
3719,1906,"Kulp","AM","12373",41.11667,45,"H6"
2437,1906,"Vishnupur","IN","24187",23.1,87.43333,"LL4-6"
2381,1906,"Blackwell","US","5068",36.83333,-97.33333,"L5"
1000,1906,"Diep River","ZA","7642",-33.75,18.56667,"L6"
845.2000000000001,1906,"Krutikha","RU","12363",56.8,77,"OC"
331,1906,"Kijima (1906)","JP","12305",36.85,138.38333,"Stone-uncl"
97.7,1906,"Kirbyville","US","12321",30.75,-95.95,"Eucrite-mmict"
8200,1907,"Chainpur","IN","5315",25.85,83.48333,"LL3.4"
1000,1907,"Bali","CF","4928",5.38333,16.38333,"CV3"
877,1907,"Leighton","US","12760",34.58333,-87.5,"H5"
438,1907,"Domanitch","TR","7661",40,29,"L5"
4500,1908,"Mokoia","NZ","16713",-39.63333,174.4,"CV3"
1900,1908,"Kagarlyk","UA","12227",49.86667,30.83333,"L6"
1630,1908,"Kangean","ID","12245",-7,115.5,"H5"
1230,1908,"Avce","SI","4906",46,13.5,"Iron, IIAB"
1001,1908,"Novy-Projekt","LT","17935",56,22,"OC"
350,1908,"Sete Lagoas","BR","23504",-19.46667,-44.21667,"H4"
13.4,1908,"Tunguska","RU","24082",60.9,101.95,"Unknown"
14290,1909,"Gifu","JP","10914",35.53333,136.88333,"L6"
5100,1909,"Blanket","US","5071",31.83333,-98.83333,"L6"
17000,1910,"St. Michel","FI","23093",61.65,27.2,"L6"
15000,1910,"Vigarano","IT","24174",44.85,11.4,"CV3"
9700,1910,"Khohar","IN","12298",25.1,81.53333000000001,"L3.6"
8510,1910,"Mirzapur","IN","16701",25.68333,83.25,"L5"
6100,1910,"Hedjaz","SA","11870",27.33333,35.66667,"L3.7-6"
4500,1910,"Baroti","IN","4949",31.61667,76.8,"L6"
1110.6,1910,"Hashima","JP","11848",35.2945,136.70033,"H4"
690,1910,"Grzempach","PL","11429",52.86667,16.63333,"H5"
515,1910,"Paitan","PH","18072",17.74333,120.45583,"H6"
212.5,1910,"Lakangaon","IN","12435",21.86667,76.03333000000001,"Eucrite-mmict"
16400,1911,"Demina","RU","6649",51.46667,84.76667000000001,"L6"
10000,1911,"Nakhla","EG","16898",31.31667,30.35,"Martian (nakhlite)"
772,1911,"Kilbourn","US","12308",43.58333,-89.59999999999999,"H5"
107.2,1911,"Erevan","AM","10043",40.3,44.5,"Howardite"
7.7,1911,"Tonk","IN","24026",24.65,76.86667,"CI1"
220000,1912,"Holbrook","US","11894",34.9,-110.18333,"L/LL6"
17200,1912,"N'Kandhla","ZA","16983",-28.56667,30.7,"Iron, IID"
5000,1912,"Shupiyan","IN","23583",33.71667,74.83333,"H6"
460,1912,"Leeuwfontein","ZA","12756",-25.66667,28.36667,"L6"
4180,1913,"Sakauchi","JP","23103",35.66667,136.3,"Iron"
1880,1913,"Moore County","US","16736",35.41667,-79.38333,"Eucrite-cm"
448,1913,"Kamiomi","JP","12240",36.04167,139.95667,"H5"
14,1913,"Banswal","IN","4937",30.4,78.2,"L5"
45000,1914,"Kuttippuram","IN","12384",10.83333,76.03333000000001,"L6"
18000,1914,"Palinshih","CN","18077",43.48333,118.61667,"Iron"
15000,1914,"Appley Bridge","GB","2318",53.58333,-2.71667,"LL6"
14000,1914,"Saint-Sauveur","FR","23101",43.73333,1.38333,"EH5"
13000,1914,"Ryechki","UA","22791",51.13333,34.5,"L5"
1550,1914,"Kisvarsány","HU","12325",48.16667,22.30833,"L6"
1100,1914,"Nyirábrany","HU","17970",47.55,22.025,"LL5"
24750,1915,"Meester-Cornelis","ID","15470",-6.23333,106.88333,"H5"
594,1915,"Visuni","PK","24189",25.45,70,"H6"
256000,1916,"Boguslavka","RU","5098",44.55,131.63333,"Iron, IIAB"
63000,1916,"Treysa","DE","24050",50.91667,9.18333,"Iron, IIIAB-an"
2400,1916,"Calivo","PH","5200",11.75,122.33333,"Stone-uncl"
1710.5,1916,"Sultanpur","IN","23741",25.93333,84.28333000000001,"L/LL6"
1455,1916,"Sinai","EG","23606",30.9,32.48333,"L6"
840,1916,"Ekh Khera","IN","7777",28.26667,78.78333000000001,"H6"
611,1916,"Baxter","US","4977",36.75,-93.5,"L6"
600,1916,"Tomita","JP","24023",34.5,133.75,"L"
355,1916,"Renqiu","CN","22589",38.66667,116.13333,"L6"
100,1916,"Rampurhat","IN","22385",24.16667,87.76667000000001,"LL"
104000,1917,"Colby (Wisconsin)","US","5395",44.9,-90.28333000000001,"L6"
52900,1917,"Nan Yang Pao","CN","16903",35.66667,103.5,"L6"
13400,1917,"Strathmore","GB","23729",56.58333,-3.25,"L6"
1460,1917,"Cranganore","IN","5465",10.2,76.26667000000001,"L6"
1020,1917,"Troup","US","24054",32.16667,-95.09999999999999,"L6"
880,1917,"Independence","US","12028",39.08333,-94.40000000000001,"L6"
380,1917,"Garhi Yasin","PK","10860",27.88333,68.53333000000001,"Iron, IIE"
290.4,1917,"Ranchapur","IN","22387",23.98333,87.08333,"H4"
240,1917,"Sedik̦y","TR","23473",38.3,27.13333,"L6"
0.15,1917,"Silistra","BG","55584",44.11667,27.26667,"Achondrite-ung"
200000,1918,"Saratov","RU","23176",52.55,46.55,"L4"
152000,1918,"Glasatovo","RU","10926",57.35,37.61667,"H4"
90000,1918,"Richardton","US","22599",46.88333,-102.31667,"H5"
1050,1918,"Norfork","US","16994",36.21667,-92.26667000000001,"Iron, IIIAB"
980,1918,"Tandil","AR","23800",-37.36667,-59.33333,"Pseudometeorite"
905,1918,"Tan̩","JP","23801",35.43333,136.23333,"L5"
22,1918,"Witklip Farm","ZA","24321",-26,30,"H5"
120000,1919,"Bur-Gheluai","SO","5169",5,48,"H5"
17000,1919,"Cumberland Falls","US","5496",36.83333,-84.34999999999999,"Aubrite"
10000,1919,"Rembang","ID","22585",-6.73333,111.36667,"Iron, IVA"
4910,1919,"Raoyang","CN","22394",38.2,115.7,"L6"
4239,1919,"Adhi Kot","PK","379",32.1,71.8,"EH4"
212,1919,"Cacak","RS","5187",43.83889,20.33333,"OC"
24.3,1919,"St. Mary's County","US","23091",38.16667,-76.38333,"LL3.3"
71400,1920,"Merua","IN","15492",25.48333,81.98333,"H5"
4460,1920,"Kushiike","JP","12381",37.05,138.38333,"OC"
1440,1920,"Aguila Blanca","AR","417",-30.86667,-64.55,"L"
1280,1920,"Atarra","IN","4883",25.25417,80.625,"L4"
1222,1920,"Simmern","DE","23603",49.98333,7.53333,"H5"
13100,1921,"Tuan Tuc","VN","24060",9.66667,105.66667,"L6"
10600,1921,"Rose City","US","22766",44.51667,-83.95,"H5"
3760,1921,"Pitts","US","18837",31.95,-83.51667000000001,"Iron, IAB-ung"
3680,1921,"Shikarpur","IN","23534",25.85,87.5775,"L6"
2462,1921,"Samelia","IN","23115",25.66667,74.86667,"Iron, IIIAB"
1265,1921,"Sharps","US","23525",37.83333,-76.7,"H3.4"
1100,1921,"Beyrout","LB","5035",33.88333,35.5,"LL3.8"
315,1921,"Haripura","IN","11829",28.38333,75.78333000000001,"CM2"
16500,1922,"Tjerebon","ID","24012",-6.66667,106.58333,"L5"
3640,1922,"Florence","US","10111",30.83333,-97.76667000000001,"H3"
3500,1922,"Hedeskoga","SE","11869",55.46667,13.78333,"H5"
1810,1922,"Nagai","JP","16890",38.12167,140.06167,"L6"
345,1922,"Baldwyn","US","4926",34.5,-88.66667,"L6"
12,1922,"Patti","IT","18118",38.13333,14.96667,"Iron"
149000,1923,"Montferr̩","FR","16727",43.39056,1.9625,"H5"
23200,1923,"Nakhon Pathom","TH","16899",13.73333,100.08333,"L6"
1800,1923,"Serra de Mag̩","BR","23502",-8.383330000000001,-36.76667,"Eucrite-cm"
1415,1923,"Holetta","ET","11895",9.06667,38.41667,"Stone-uncl"
1300,1923,"Ashdon","GB","2346",52.05,0.3,"L6"
560,1923,"Birni N'konni","NG","5056",13.76667,5.3,"H4"
150000,1924,"Olivenza","ES","18013",38.71667,-7.06667,"LL5"
40300,1924,"Johnstown","US","12198",40.35,-104.9,"Diogenite"
18000,1924,"B̩r̩ba","BF","5028",11.65,-3.65,"Eucrite-mmict"
6067,1924,"Forksville","US","10123",36.78333,-78.08333,"L6"
5500,1924,"Santa Isabel","AR","23165",-33.9,-61.7,"L6"
4703,1924,"Muraid","BD","16874",24.5,90.21666999999999,"L6"
3500,1924,"Success","US","23736",36.48333,-90.66667,"L6"
2000,1924,"La Colina","AR","12395",-37.33333,-61.53333,"H5"
1000,1924,"Unkoku","KR","24123",34.8,127,"OC"
82,1924,"Fenghsien-Ku","CN","10086",34.6,116.75,"H5"
24000,1925,"Aïr","NE","424",19.08333,8.383330000000001,"L6"
7000,1925,"Queen's Mercy","LS","22357",-30.11667,28.7,"H6"
7000,1925,"Lanzenkirchen","AT","12465",47.75,16.23333,"L4"
2945,1925,"Chaves","ES","5334",41.93333,-7.46667,"Howardite"
1470,1925,"Ellemeet","NL","10019",51.75,4,"Diogenite"
363,1925,"Numakai","JP","17960",43.33333,141.86667,"H4"
300,1925,"Renca","AR","22587",-32.75,-65.28333000000001,"L5"
9241,1926,"Lua","IN","14721",24.95,75.15000000000001,"L5"
5850,1926,"Ojuelos Altos","ES","17997",38.18333,-5.4,"L6"
1500,1926,"Urasaki","JP","24129",34.48333,133.28333,"Stone-uncl"
973,1926,"Jajh deh Kot Lalu","PK","12067",26.75,68.41667,"EL6"
238,1926,"Komagome","JP","12343",35.73333,139.75,"Iron"
135,1926,"Palmyra","US","18079",39.8,-91.5,"L3"
76.5,1926,"Ulmiz","CH","24108",46.93333,7.21667,"L"
103000,1927,"Udei Station","NG","24101",7.95,8.08333,"Iron, IAB-ung"
74800,1927,"Tilden","US","23998",38.2,-89.68333,"L6"
1400,1927,"Oesede","DE","17988",52.28333,8.050000000000001,"H5"
1000,1927,"Mamra Springs","KZ","15401",45.21667,62.08333,"L6"
958,1927,"Sopot","RO","23670",44.41667,23.5,"OC"
640,1927,"Trysil","NO","24057",61.3,12.3,"L/LL6"
17000,1928,"Naoki","IN","16908",19.25,77,"H6"
3422,1928,"Utzenstorf","CH","24136",47.11667,7.55,"H5"
3050,1928,"Isthilart","AR","12053",-31.18333,-57.95,"H5"
367.5,1928,"Narellan","AU","16912",-34.05,150.68889,"L6"
246,1928,"Oterøy","NO","18042",58.88333,9.4,"L6"
40000,1929,"Olmedilla de Alarcón","ES","18015",39.56667,-2.1,"H5"
16000,1929,"Beardsley","US","4984",39.8,-101.2,"H5"
6109,1929,"Khmelevka","RU","12297",56.75,75.33333,"L5"
6000,1929,"Tauk","IQ","23887",35.13333,44.45,"L6"
3858,1929,"Padvarninkai","LT","18069",55.66667,25,"Eucrite-mmict"
3700,1929,"Bald Mountain","US","4925",35.96667,-82.48333,"L4"
3332,1929,"Rewari","IN","22593",28.2,76.66667,"L6"
408000,1930,"Paragould","US","18101",36.06667,-90.5,"LL5"
41730,1930,"Karoonda","AU","12264",-35.08333,139.91667,"CK4"
16700,1930,"Miller (Arkansas)","US","16645",35.4,-92.05,"H5"
16570,1930,"Oldenburg (1930)","DE","18009",52.95,8.16667,"L6"
8888,1930,"Moorleah","AU","16738",-40.975,145.6,"L6"
6862,1930,"Lillaverke","SE","14650",56.65,15.86667,"H5"
2085,1930,"Plantersville","US","18846",30.7,-96.11667,"H6"
1620,1930,"Aguada","AR","398",-31.6,-65.23333,"L6"
1342,1930,"Boriskino","RU","5112",54.23333,52.48333,"CM2"
1320,1930,"Gyokukei","KR","11467",35,127.5,"OC"
470,1930,"Malampaka","TZ","15395",-3.13333,33.51667,"H"
12000,1931,"Tatahouine","TN","23884",32.95,10.41667,"Diogenite"
157,1931,"Pontlyfni","GB","18865",53.03639,-4.31944,"Winonaite"
90,1931,"Konovo","BG","12344",42.51667,26.16667,"LL5"
29.5,1931,"Eaton","US","7765",40.51667,-104.68333,"Pseudometeorite"
22000,1932,"Gualeguaychú","AR","11432",-33,-58.61667,"H6"
5070,1932,"Archie","US","2329",38.5,-94.3,"H6"
4047,1932,"Kuznetzovo","RU","12385",55.2,75.33333,"L6"
3698,1932,"Khanpur","IN","12289",25.55,83.11667,"LL5"
3200,1932,"Khor Temiki","SD","12299",16,36,"Aubrite"
2125,1932,"Prambachkirchen","AT","18883",48.3025,13.94083,"L6"
1161,1932,"Douar Mghila","MA","7723",32.33333,-6.3,"LL6"
66,1932,"Witsand Farm","NA","24322",-28.66667,18.91667,"LL4"
66000,1933,"Pervomaisky","RU","18798",56.63333,39.43333,"L6"
18300,1933,"Chajari","AR","5316",-30.78333,-58.05,"L5"
8400,1933,"Cherokee Springs","US","5340",35.03333,-81.88333,"LL6"
7800,1933,"Phum Sambo","KH","18811",12,105.48333,"H4"
7000,1933,"Repeev Khutor","RU","22590",48.6,45.66667,"Iron, IIF"
5100,1933,"Pasamonte","US","18110",36.21667,-103.4,"Eucrite-pmict"
4100,1933,"Sioux County","US","23614",42.58333,-103.66667,"Eucrite-mmict"
3393,1933,"Pesyanoe","RU","18799",55.5,66.08333,"Aubrite"
807,1933,"Malvern","ZA","15400",-29.45,26.76667,"Eucrite-pmict"
665,1933,"Po-wang Chen","CN","18879",31.41667,118.5,"LL"
629,1933,"Banten","ID","4938",-6.33333,106,"CM2"
265,1933,"Athens","US","4885",34.75,-87,"LL6"
250,1933,"Noyan-Bogdo","MN","17936",42.91667,102.46667,"L6"
219,1933,"Brient","RU","5140",52.13333,59.31667,"Eucrite-pmict"
188,1933,"Dyarrl Island","PG","7758",-3,151,"Mesosiderite-A1"
150,1933,"Malaga","US","15393",32.21667,-104,"OC"
56000,1934,"Farmville","US","10075",35.55,-77.53333000000001,"H4"
22300,1934,"Mangwendi","ZW","15405",-17.65,31.6,"LL6"
10322,1934,"Bahjoi","IN","4922",28.48333,78.5,"Iron, IAB-sLL"
9000,1934,"Hainaut","FR","11472",50.31667,3.73333,"H3-6"
2360,1934,"Fayetteville","US","10079",36.05,-94.16667,"H4"
1310,1934,"Rio Negro","BR","22611",-26.1,-49.8,"L4"
750,1934,"Capilla del Monte","AR","5264",-30.88333,-64.55,"H6"
412,1934,"Sazovice","CZ","23455",49.23333,17.56667,"L5"
230,1934,"Tirupati","IN","24009",13.63333,79.41667,"H6"
67,1934,"Rumuruti","KE","22782",0.26667,36.53333,"R3.8-6"
59000,1935,"Łowicz","PL","14718",52,19.91667,"Mesosiderite-A3"
37350,1935,"Patwar","BD","18171",23.15,91.18333,"Mesosiderite-A1"
23474,1935,"Perpeti","BD","18793",23.325,91,"L6"
3996,1935,"Nikolaevka","RU","16976",52.45,78.63333,"H4"
637,1935,"Sungach","RU","23745",44.86667,133.16667,"H5"
400,1935,"Madiun","ID","15380",-7.75,111.53333,"L6"
3973,1936,"Ichkala","RU","11995",58.2,82.93333,"H6"
1995,1936,"Macibini","ZA","15372",-28.83333,31.95,"Eucrite-pmict"
347,1936,"Nassirah","NC","16922",-21.73333,165.9,"H4"
78.40000000000001,1936,"Crescent","US","5470",35.95,-97.58333,"CM2"
300000,1937,"Putinga","BR","18905",-29.03333,-53.05,"L6"
200000,1937,"Kainsaz","RU","12229",55.43333,53.25,"CO3.2"
21000,1937,"Tauti","RO","23888",46.71667,23.5,"L6"
3500,1937,"Kaptal-Aryk","KZ","12253",42.45,73.36667,"L6"
3225,1937,"Rangala","IN","22392",25.38333,72.01667000000001,"L6"
540,1937,"Mabwe-Khoywa","MM","14764",19,97,"L5"
2830,1938,"Aztec","US","4913",36.8,-108,"L6"
2250,1938,"Kukschin","UA","12368",51.15,31.7,"L6"
2130,1938,"Pantar","PH","18098",8.06667,124.28333,"H5"
1770.5,1938,"Benld","US","5021",39.08333,-89.15000000000001,"H6"
800,1938,"Lavrentievka","RU","12743",52.45,51.56667,"L6"
710,1938,"Kasamatsu","JP","12266",35.36667,136.76667,"H"
704.5,1938,"Ivuna","TZ","12063",-8.41667,32.43333,"CI1"
303,1938,"Chicora","US","5349",40.93333,-79.73333,"LL6"
142.5,1938,"Pavlodar (stone)","KZ","18175",52.3,77.03333000000001,"H5"
67.8,1938,"Bloomington","US","5076",40.48,-89.00417,"LL6"
47700,1939,"Dresden (Ontario)","CA","7731",42.52,-82.26000000000001,"H6"
17900,1939,"Andura","IN","2298",20.88333,76.86667,"H6"
6937,1939,"Kendleton","US","12275",29.45,-96,"L4"
3336,1939,"Ekeby","SE","7776",56.03333,13,"H4"
1700,1939,"Chervony Kut","UA","5342",50.83333,34,"Eucrite-mmict"
1590,1939,"Selakopi","ID","23481",-7.23333,107.33333,"H5"
1303,1939,"Glanggang","ID","10924",-7.25,107.7,"H5-6"
737.6,1939,"Nyaung","MM","17969",21.20833,94.91667,"Iron, IIIAB"
225,1939,"Washougal","US","24218",45.58333,-122.35,"Howardite"
60,1939,"Santa Cruz","MX","23164",24.16667,-99.33333,"CM2"
3766,1940,"Ramnagar","IN","22384",26.45,82.90000000000001,"L6"
3300,1940,"Kediri","ID","12270",-7.75,112.01667,"L4"
1047,1940,"Bhola","BD","5040",22.68333,90.65000000000001,"LL3-6"
691,1940,"Semarkona","IN","23487",22.25,79,"LL3.00"
113,1940,"Erakot","IN","10042",19.03333,81.89167000000001,"CM2"
11000,1941,"Phuoc-Binh","VN","18812",15.71667,108.1,"L5"
3200,1941,"Maridi","SS","15421",4.66667,29.25,"H6"
705,1941,"Black Moshannan Park","US","5065",40.91667,-78.08333,"L5"
600,1941,"Mafra","BR","15383",-26.16667,-49.93333,"L3-4"
26000,1942,"Forest Vale","AU","10120",-33.35,146.85833,"H4"
11355,1942,"Kapoeta","SS","12251",4.7,33.63333,"Howardite"
6500,1942,"Ankober","ET","2304",9.533329999999999,39.71667,"H4"
4975,1942,"Maziba","UG","15454",-1.21667,30,"L6"
2770,1942,"Kamalpur","IN","12238",26.03333,81.46666999999999,"L6"
800,1942,"Parsa","IN","18109",26.2,85.40000000000001,"EH3"
357,1942,"Bununu","NG","5165",10.01667,9.58333,"Howardite"
253.6,1942,"Pollen","NO","18860",66.34833,14.015,"CM2"
51500,1943,"Leedey","US","12755",35.88333,-99.33333,"L6"
3880,1943,"Benoni","ZA","5023",-26.16667,28.41667,"H6"
2117,1943,"Duwun","KR","7754",33.43333,127.26667,"L6"
2799,1944,"Valdavur","IN","24144",11.98333,79.75,"H6"
1456,1944,"Hallingeberg","SE","11479",57.81667,16.23333,"L3.4"
1100,1944,"Mtola","MW","16820",-11.5,33.5,"Stone-uncl"
259.1,1944,"Torrington","US","24032",42.06667,-104.16667,"H6"
224.2,1944,"Mike","HU","16636",46.23333,17.53333,"L6"
23000,1945,"Fuhe","CN","52412",31.47556,113.56694,"L5"
6000,1945,"Meru","KE","15491",0,37.66667,"LL6"
2050,1945,"Soroti","UG","23671",1.7,33.63333,"Iron, ungrouped"
1384.2,1945,"Atoka","US","4888",34.31667,-96.15000000000001,"L6"
70000,1946,"Pe̱a Blanca Spring","US","18786",30.125,-103.11667,"Aubrite"
50000,1946,"Krymka","UA","12364",47.83333,30.76667,"LL3.2"
28100,1946,"Walters","US","24210",34.33333,-98.3,"L6"
25000,1946,"Bursa","TR","5177",40.2,29.23333,"L6"
4000,1946,"Krasnyi Klyuch","RU","12357",54.33333,56.08333,"H5"
23000000,1947,"Sikhote-Alin","RU","23593",46.16,134.65333,"Iron, IIAB"
17300,1947,"Reliegos","ES","22584",42.475,-5.33333,"L5"
10000,1947,"Eagle","US","7760",40.78167,-96.47167,"EL6"
2300,1947,"Långhalsen","SE","12461",58.85,16.73333,"L6"
480,1947,"Git-Git","NG","10919",9.6,9.91667,"L6"
150,1947,"Seldebourak","DZ","23483",22.83333,4.98333,"H5"
1100000,1948,"Norton County","US","17922",39.68333,-99.86667,"Aubrite"
20000,1948,"Uzcudun","AR","24140",-44.11667,-66.15000000000001,"L"
4500,1948,"Mardan","PK","15414",34.23333,72.08333,"H5"
200000,1949,"Kunashak","RU","12377",55.78333,61.36667,"L6"
6000,1949,"Rupota","TZ","22783",-10.26667,38.76667,"L4-6"
2840,1949,"Benton","CA","5026",45.95,-67.55,"LL6"
1300,1949,"Mezel","FR","16627",45.76667,3.25,"L6"
968,1949,"Guidder","CM","11443",9.91667,13.98333,"LL5"
910,1949,"Adzhi-Bogdo (stone)","MN","390",44.83333,95.16667,"LL3-6"
794,1949,"Beddgelert","GB","4993",53.01667,-4.1,"H5"
779,1949,"Akaba","JO","426",29.51667,35.05,"L6"
750,1949,"Vetluga","RU","24169",57.8,45.8,"Eucrite-mmict"
682,1949,"Palolo Valley","US","18082",21.3,-157.78333,"H5"
180,1949,"Karewar","NG","12260",12.9,7.15,"L6"
625,1949,"Alberta","CD","454",2,22.66667,"L"
12600,1950,"Murray","US","16882",36.6,-88.09999999999999,"CM2"
10800,1950,"Vengerovo","RU","24158",56.13333,77.26667000000001,"H5"
7450,1950,"Arroyo Aguiar","AR","2340",-31.41667,-60.66667,"H5"
4885,1950,"Monte das Fortes","PT","16725",38.01667,-8.25,"L5"
2121,1950,"Patrimonio","BR","18116",-19.53333,-48.56667,"L6"
1000,1950,"Madhipura","IN","15379",25.91667,86.36667,"L"
1000,1950,"St. Louis","US","23089",38.7,-90.23333,"H4"
725,1950,"Geidam","NG","10870",12.91667,11.91667,"H5"
357.4,1950,"Tromøy","NO","24053",58.47333,8.866669999999999,"H"
342,1950,"Thal","PK","23908",33.4,70.59999999999999,"H6"
102,1950,"Garland","US","10861",41.68333,-112.13333,"Diogenite-pm"
54640,1951,"Elenovka","UA","7824",47.83333,37.66667,"L5"
3555,1951,"Manych","RU","15409",45.81667,44.63333,"LL3.4"
1900,1951,"Dubrovnik","HR","7736",42.45833,18.44167,"L3-6"
950,1951,"Kalaba","CD","12232",-6.83333,29.5,"H4"
720,1951,"Aarhus","DK","2",56.18333,10.23333,"H6"
107000,1952,"Abee","CA","6",54.21667,-113,"EH4"
9330,1952,"Avanhandava","BR","4905",-21.46028,-49.95083,"H4"
5500,1952,"Min-Fan-Zhun","CN","16697",32.33333,120.66667,"LL6"
36.1,1952,"Galim (a)","CM","10848",7.05,12.43333,"LL6"
28,1952,"Galim (b)","CM","10849",7.05,12.43333,"EH3/4-an"
150,1953,"Molteno","ZA","16717",-31.25,26.46667,"Howardite"
117.8,1953,"Peckelsheim","DE","18181",51.66667,9.25,"Diogenite-pm"
31,1953,"Medanitos","AR","15467",-27.25,-67.5,"Eucrite-cm"
6000,1954,"Nikolskoe","RU","16977",56.11667,37.33333,"L4"
5560,1954,"Sylacauga","US","23773",33.18836,-86.2945,"H4"
1300,1954,"Ishinga","TZ","12049",-8.93333,33.8,"H"
810,1954,"Arbol Solo","AR","2325",-33,-66,"H5"
305.5,1954,"Hökmark","SE","11893",64.43333,21.2,"L4"
2950,1955,"Karloowala","PK","12263",31.58333,71.59999999999999,"L6"
2405,1955,"Messina","IT","15495",38.18333,15.56667,"L5"
900,1955,"Lahrauli","IN","12433",26.78333,82.71666999999999,"Ureilite"
232.4,1955,"Kirkland","US","12322",47.69306,-122.17028,"Pseudometeorite"
100000,1956,"Paranaiba","BR","18103",-19.13333,-51.66667,"L6"
8165,1956,"Nadiabondi","BF","16889",12,1,"H5"
3457,1956,"Idutywa","ZA","12000",-32.1,28.33333,"H5"
2000,1956,"Sinnai","IT","23613",39.3,9.199999999999999,"H6"
1500,1956,"Breitscheid","DE","5134",50.66694,8.18361,"H5"
282,1956,"San Pedro de Quiles","CL","23130",-31.01667,-71.40000000000001,"L6"
180,1956,"Hotse","CN","11913",35.66667,115.5,"L6"
45.6,1956,"Centerville","US","5307",43.2,-96.91667,"H5"
5000,1957,"Raco","AR","22368",-26.66667,-65.45,"H5"
2500,1957,"Ibitira","BR","11993",-20,-45,"Eucrite-mmict"
500,1957,"Essebi","CD","10055",2.88333,30.83333,"C2-ung"
400,1957,"Distrito Quebracho","AR","7649",-31.88333,-60.46667,"H4"
189.2,1957,"Ufana","TZ","24106",-4.26667,35.35,"EL6"
160,1957,"Al Rais","SA","446",24.41667,39.51667,"CR2-an"
8000,1958,"Orebro","SE","18025",59.28333,15.21667,"Pseudometeorite"
4682,1958,"Ramsdorf","DE","22386",51.88333,6.93333,"L6"
194,1958,"Okabe","JP","17998",36.18333,139.21667,"H5"
5555,1959,"Pribram","CZ","18887",49.66667,14.03333,"H5"
3710,1959,"Hamlet","US","11485",41.38333,-86.59999999999999,"LL4"
3000,1959,"Akwanga","NG","432",8.91667,8.43333,"H"
299,1959,"Kandahar (Afghanistan)","AF","12243",31.6,65.78333000000001,"L6"
134.3,1959,"St.-Chinian","FR","23097",43.43333,2.95,"L6"
303000,1960,"Bruderheim","CA","5156",53.9,-112.88333,"L6"
330000,1960,"Millbillillie","AU","16643",-26.45,120.36667,"Eucrite-mmict"
36000,1960,"Woolgorong","AU","24334",-27.75,115.83333,"L6"
72.90000000000001,1960,"Soheria","IN","23660",27.13333,84.06667,"OC"
85000,1961,"Kayakent","TR","12268",39.26333,31.78,"Iron, IIIAB"
8360,1961,"Harleton","US","11830",32.675,-94.51167,"L6"
3950,1961,"Djermaia","TD","7656",12.73333,15.05,"H"
2400,1961,"Ehole","AO","7774",-17.3,15.83333,"H5"
453.6,1961,"Kulak","PK","12369",30.73111,66.80222000000001,"L5"
375,1961,"Bells","US","5005",33.6,-96.46666999999999,"C2-ung"
6.1,1961,"Ras Tanura","SA","22395",26.66667,50.15,"H6"
25400,1962,"Desuri","IN","6693",25.73333,73.61667,"H6"
8800,1962,"Bogou","BF","5097",12.5,0.7,"Iron, IAB-MG"
4960,1962,"Ste. Marguerite","BE","23099",50.76667,3,"H4"
1250,1962,"Dosso","NE","7722",13.05,3.16667,"L6"
927,1962,"São Jose do Rio Preto","BR","23171",-20.81,-49.38056,"H4"
737.6,1962,"Kiel","DE","12301",54.4,10.15,"L6"
45760,1963,"Peace River","CA","18180",56.13333,-117.93333,"L6"
7700,1963,"Ohuma","NG","17996",6.75,8.5,"L5"
5900,1963,"Yaddlethorpe","GB","24350",53.55,-0.65,"Pseudometeorite"
3000,1963,"Inner Mongolia","CN","12037",41,112,"L6"
2220,1963,"Karatu","TZ","12258",-3.5,35.58333,"LL6"
1269,1963,"Usti Nad Orlici","CZ","24132",49.975,16.375,"L6"
266.1,1963,"Hoxie","US","11915",39.35,-100.45,"OC"
9000,1964,"Granes","FR","10956",42.9,2.25,"L6"
6000,1964,"Chernyi Bor","BY","5339",53.7,30.1,"H4"
4000,1964,"Çanakkale","TR","5250",39.8,26.6,"L6"
1245,1964,"Muzaffarpur","IN","16885",26.13333,85.53333000000001,"Iron, IAB-sHL"
222,1964,"Jiange","CN","12086",31.91667,104.91667,"H5"
166.4,1964,"Wolamo","ET","24324",9,39,"OC"
44000,1965,"Barwell","GB","4954",52.56528,-1.33972,"L5"
20350,1965,"Conquista","BR","5418",-19.85,-47.55,"H4"
3850,1965,"Taonan","CN","23873",45.4,122.9,"L5"
1,1965,"Revelstoke","CA","22592",51.33333,-118.95,"CI1"
271000,1966,"Saint-S̩verin","FR","23102",45.3,0.23333,"LL6"
