place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Battle Mountain,Valid,L6,2900,Fell,2012,56133,40.668130,-117.189130
Bawku,Valid,LL5,1557,Fell,1989,4976,11.083330,-0.183330
Baxter,Valid,L6,611,Fell,1916,4977,36.750000,-93.500000
Beardsley,Valid,H5,16000,Fell,1929,4984,39.800000,-101.200000
Beaver Creek,Valid,H5,14000,Fell,1893,4986,51.166670,-117.333330
Beddgelert,Valid,H5,794,Fell,1949,4993,53.016670,-4.100000
Bells,Valid,C2-ung,375,Fell,1961,5005,33.600000,-96.466670
Belville,Valid,OC,,Fell,1937,5009,-32.333330,-64.866670
Benares (a),Valid,LL4,3700,Fell,1798,5011,25.366670,82.916670
Benguerir,Valid,LL6,25000,Fell,2004,30443,32.250000,-8.150000
Beni M'hira,Valid,L6,19000,Fell,2001,5018,32.866670,10.800000
Benld,Valid,H6,1770.5,Fell,1938,5021,39.083330,-89.150000
Benoni,Valid,H6,3880,Fell,1943,5023,-26.166670,28.416670
Bensour,Valid,LL6,45000,Fell,2002,5024,30.000000,-7.000000
Benton,Valid,LL6,2840,Fell,1949,5026,45.950000,-67.550000
Berduc,Valid,L6,270,Fell,2008,48975,-31.910000,-58.328330
Béréba,Valid,Eucrite-mmict,18000,Fell,1924,5028,11.650000,-3.650000
Berlanguillas,Valid,L6,1440,Fell,1811,5029,41.683330,-3.800000
Berthoud,Valid,Eucrite-mmict,960,Fell,2004,47355,40.305830,-105.023250
Bethlehem,Valid,H,13.9,Fell,1859,5032,42.533330,-73.833330
Beuste,Valid,L5,2000,Fell,1859,5034,43.216670,-0.233330
Beyrout,Valid,LL3.8,1100,Fell,1921,5035,33.883330,35.500000
Bhagur,Valid,L6,18,Fell,1877,5037,20.883330,74.833330
Bhawad,Valid,LL6,678,Fell,2002,36591,26.508330,73.115280
Bherai,Valid,L6,100,Fell,1893,5039,20.833330,71.466670
Bhola,Valid,LL3-6,1047,Fell,1940,5040,22.683330,90.650000
Bholghati,Valid,Howardite,2500,Fell,1905,5041,22.083330,86.900000
Bialystok,Valid,Eucrite-pmict,4000,Fell,1827,5042,53.100000,23.200000
Bielokrynitschie,Valid,H4,1900,Fell,1887,5043,50.133330,27.166670
Bilanga,Valid,Diogenite,25000,Fell,1999,5045,12.450000,-0.083330
Binningup,Valid,H5,488.1,Fell,1984,5051,-33.156390,115.676390
Birni N'konni,Valid,H4,560,Fell,1923,5056,13.766670,5.300000
Bishopville,Valid,Aubrite,6000,Fell,1843,5059,34.166670,-80.283330
